icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,api_time,ingestion_time,region,speed_kmh,baro_altitude_ft,geo_altitude_ft,altitude_band
801638,AXB2506,India,2026-05-25 12:29:46+00:00,2026-05-25 12:29:46+00:00,77.0328,9.4497,6278.88,False,198.89,165.93,-10.08,,6583.68,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,716.004,20600.0006592,21600.000691200003,"5,000-10,000 m"
80163f,AIC7VS,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.0747,28.5488,556.26,False,76.86,283.94,14.96,,403.86,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,276.696,1825.0000584,1325.0000424,"0-5,000 m"
80160b,IGO3423,India,2026-05-25 12:29:59+00:00,2026-05-25 12:30:00+00:00,88.4131,23.3167,7459.98,False,219.73,9.7,9.1,,7879.08,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,791.028,24475.000783199997,25850.0008272,"5,000-10,000 m"
801615,AXB1251,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,76.9298,28.5943,1607.82,False,137.79,251.5,13.33,,1562.1,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,496.044,5275.0001688,5125.000164,"0-5,000 m"
801618,SDG512,India,2026-05-25 12:30:00+00:00,2026-05-25 12:30:00+00:00,70.2036,23.0643,3055.62,False,149.76,293.48,-11.38,,3169.92,6566,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,539.136,10025.0003208,10400.0003328,"0-5,000 m"
80161c,AXB1196,India,2026-05-25 12:30:00+00:00,2026-05-25 12:30:00+00:00,77.2495,28.5668,914.4,False,82.84,271.07,-0.33,,800.1,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,298.22400000000005,3000.0000959999998,2625.0000840000002,"0-5,000 m"
801633,AKJ358P,India,2026-05-25 12:29:17+00:00,2026-05-25 12:29:17+00:00,80.2221,27.1222,9448.8,False,242.08,92.8,0.0,,9944.1,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,871.488,31000.000991999997,32625.001044,"5,000-10,000 m"
80166d,AXB1038,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,76.2415,27.4175,8648.7,False,234.33,211.35,4.23,,9105.9,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,843.5880000000001,28375.000908,29875.000956,"5,000-10,000 m"
801680,AXB1562,India,2026-05-25 12:28:37+00:00,2026-05-25 12:28:37+00:00,77.1027,28.5687,,True,12.35,92.81,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,44.46,,,
80167e,AIC5FN,India,2026-05-25 12:26:18+00:00,2026-05-25 12:26:19+00:00,77.0894,28.5615,,True,6.69,106.88,,,,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,24.084000000000003,,,
80167c,AXB1179,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,78.4013,27.7535,9540.24,False,250.6,110.93,3.9,,10035.54,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,902.16,31300.001001599998,32925.001053600005,"5,000-10,000 m"
0a00c2,DAH3157,Algeria,2026-05-25 12:25:08+00:00,2026-05-25 12:26:32+00:00,74.6997,14.5299,11582.4,False,252.44,297.82,0.0,,12298.68,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,908.784,38000.001216,40350.0012912,"10,000-12,000 m"
801661,IGO765H,India,2026-05-25 12:29:57+00:00,2026-05-25 12:30:00+00:00,77.2092,27.7489,4236.72,False,171.33,359.14,-4.23,,4411.98,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,616.788,13900.0004448,14475.000463199998,"0-5,000 m"
80165a,AIC2YB,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,86.5068,23.9014,9563.1,False,243.81,111.15,-4.88,,10157.46,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,877.716,31375.001004,33325.0010664,"5,000-10,000 m"
80169c,IGO463,India,2026-05-25 12:25:21+00:00,2026-05-25 12:25:32+00:00,73.0105,19.3758,5029.2,False,181.39,71.31,8.45,,5128.26,0303,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,653.004,16500.000528,16825.0005384,"5,000-10,000 m"
8014a3,IGO2150,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,76.8455,27.6449,7513.32,False,234.12,178.87,8.13,,7886.7,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,842.832,24650.0007888,25875.000828,"5,000-10,000 m"
800daf,AIC1RN,India,2026-05-25 12:27:56+00:00,2026-05-25 12:28:02+00:00,77.1084,28.5416,388.62,False,69.37,283.73,-2.93,,220.98,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,249.73200000000003,1275.0000408,725.0000232,"0-5,000 m"
8014b2,IGO213,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,88.9484,24.6376,10363.2,False,219.03,236.98,0.0,,11026.14,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,788.508,34000.001088000005,36175.001157599996,"10,000-12,000 m"
8014ad,IGO6313,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.6403,27.1528,8252.46,False,199.81,321.27,-7.8,,8694.42,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,719.316,27075.000866399998,28525.0009128,"5,000-10,000 m"
8014ae,AIC3WQ,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,84.1203,25.8626,3863.34,False,186.82,116.14,-4.23,,3985.26,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,672.552,12675.0004056,13075.0004184,"0-5,000 m"
800db5,AXB2115,India,2026-05-25 12:30:00+00:00,2026-05-25 12:30:00+00:00,77.7358,12.9021,4305.3,False,160.65,49.94,-9.43,,4495.8,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,578.34,14125.000452,14750.000472,"0-5,000 m"
8014dc,IGO719W,India,2026-05-25 12:23:00+00:00,2026-05-25 12:26:24+00:00,91.2258,23.6316,1264.92,False,79.82,2.59,-4.23,,1165.86,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,287.352,4150.0001328,3825.0001224,"0-5,000 m"
8001c5,VTAAT,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.1422,28.5342,556.26,False,65.75,284.04,-3.58,,411.48,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,236.70000000000002,1825.0000584,1350.0000432000002,"0-5,000 m"
8014f7,IGO518,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,78.5233,29.8767,5554.98,False,205.89,135.2,11.05,,5783.58,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,741.204,18225.0005832,18975.0006072,"5,000-10,000 m"
8001bb,VTNJB,India,2026-05-25 12:29:59+00:00,2026-05-25 12:29:59+00:00,77.3185,13.3825,6019.8,False,157.92,349.68,5.53,,6316.98,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,568.512,19750.000632,20725.000663199997,"5,000-10,000 m"
8014c0,IGO477H,India,2026-05-25 12:27:30+00:00,2026-05-25 12:27:30+00:00,77.8774,30.1438,2697.48,False,118.07,65.0,-6.5,,2887.98,,False,0,2026-05-25 12:30:00+00:00,2026-05-25 12:30:06.032957+00:00,India,425.05199999999996,8850.0002832,9475.0003032,"0-5,000 m"
